escena_numero;escena_locacion;momento;intencion_dramatica;ritmo;plano_numero;tipo_plano;descripcion_plano;accion_principal;camara_movimiento;sonido_transicion;elementos_necesarios;notas_produccion
0;EXT. CIELO / ESPACIO EXTERIOR;NOCHE;Abrir en escala mítica: instalar el relato como cosmogonía, destino y amenaza antigua.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;0.01;PG / Plano general;PG cósmico en travelling descendente: galaxias → sistema solar → Tierra → Karukinka iluminada por fogatas.;galaxias → sistema solar → Tierra → Karukinka iluminada por fogatas.;Travelling;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Luna/luz plateada; Sol/luz cálida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
0;EXT. CIELO / ESPACIO EXTERIOR;NOCHE;Abrir en escala mítica: instalar el relato como cosmogonía, destino y amenaza antigua.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;0.02;Cenital;"Plano cenital de isla nocturna; fogatas como constelaciones terrestres.";"Plano cenital de isla nocturna; fogatas como constelaciones terrestres.";Cenital;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Luna/luz plateada; Sol/luz cálida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
0;EXT. CIELO / ESPACIO EXTERIOR;NOCHE;Abrir en escala mítica: instalar el relato como cosmogonía, destino y amenaza antigua.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;0.03;Plano narrativo;Fundido encadenado hacia fuego real de la escena siguiente.;Fundido encadenado hacia fuego real de la escena siguiente.;Fundido;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Luna/luz plateada; Sol/luz cálida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
1;EXT. CIELO / ISLA TIERRA DEL FUEGO;NOCHE;Instalar la tradición oral, el humor de Uky y la profecía que tensiona todo el relato.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;1.01;PG / Plano general;"PG nocturno de cordillera y árbol torcido; cámara desciende hasta el círculo de niños.";"PG nocturno de cordillera y árbol torcido; cámara desciende hasta el círculo de niños.";Cámara funcional al eje dramático;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Viento como voz espiritual y guía; usarlo para transiciones. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Luna/luz plateada; Sol/luz cálida; Viento FX; Árbol torcido; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
1;EXT. CIELO / ISLA TIERRA DEL FUEGO;NOCHE;Instalar la tradición oral, el humor de Uky y la profecía que tensiona todo el relato.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;1.02;PM / Plano medio;"PM de Xo’om junto al fuego; luz cálida y sombras azules anticipan lo sobrenatural.";"PM de Xo’om junto al fuego; luz cálida y sombras azules anticipan lo sobrenatural.";Cámara funcional al eje dramático;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Viento como voz espiritual y guía; usarlo para transiciones. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Luna/luz plateada; Sol/luz cálida; Viento FX; Xo’om";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
1;EXT. CIELO / ISLA TIERRA DEL FUEGO;NOCHE;Instalar la tradición oral, el humor de Uky y la profecía que tensiona todo el relato.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;1.03;Insert;Insert 2D de la leyenda con composición plana, texturas de pintura y movimiento ceremonial.;Insert 2D de la leyenda con composición plana, texturas de pintura y movimiento ceremonial.;Cámara funcional al eje dramático;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Viento como voz espiritual y guía; usarlo para transiciones. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Luna/luz plateada; Sol/luz cálida; Viento FX; Pinturas tari; Animación 2D";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
1;EXT. CIELO / ISLA TIERRA DEL FUEGO;NOCHE;Instalar la tradición oral, el humor de Uky y la profecía que tensiona todo el relato.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;1.04;Plano narrativo;Primeros planos de Uky jugando: contraste entre mito solemne y travesura.;contraste entre mito solemne y travesura.;Cámara funcional al eje dramático;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Viento como voz espiritual y guía; usarlo para transiciones. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Luna/luz plateada; Sol/luz cálida; Viento FX; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
1;EXT. CIELO / ISLA TIERRA DEL FUEGO;NOCHE;Instalar la tradición oral, el humor de Uky y la profecía que tensiona todo el relato.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;1.05;Travelling;"Travelling circular alrededor del fuego cuando aparece la profecía; cerrar en Uky mirando la Luna.";"Travelling circular alrededor del fuego cuando aparece la profecía; cerrar en Uky mirando la Luna.";Travelling;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Viento como voz espiritual y guía; usarlo para transiciones. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Luna/luz plateada; Sol/luz cálida; Viento FX; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
2;EXT. ISLA TIERRA DEL FUEGO;DIA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;2.01;PG / Plano general;Plano general de ubicación para orientar geografía y clima emocional.;Plano general de ubicación para orientar geografía y clima emocional.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
2;EXT. ISLA TIERRA DEL FUEGO;DIA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;2.02;Plano narrativo;Planos medios alternados de diálogo/acción, cuidando eje entre Uky, Lola y acompañantes.;Planos medios alternados de diálogo/acción, cuidando eje entre Uky, Lola y acompañantes.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX; Lola; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
